"kill_death_ratio","kill_death_ratio_rival","map_name","win_stats","win_stats_rival","world_rank_position","world_rank_position_rival","winner"
1.1,0.92,nuke,71.4,60,20,22,1
0.92,1.1,nuke,60,71.4,22,20,0
1.06,0.92,train,80,66.7,3,26,1
0.92,1.06,train,66.7,80,26,3,0
1.06,0.92,mirage,75,0,3,26,1
0.92,1.06,mirage,0,75,26,3,0
0.92,1.06,overpass,42.9,66.7,26,3,1
1.06,0.92,overpass,66.7,42.9,3,26,0
1.15,0.91,inferno,83.3,37.5,2,21,1
0.91,1.15,inferno,37.5,83.3,21,2,0
1.15,0.91,train,100,40,2,21,1
0.91,1.15,train,40,100,21,2,0
1.1,0.98,train,66.7,60,20,18,1
0.98,1.1,train,60,66.7,18,20,0
1.05,0.96,mirage,50,33.3,6,25,1
0.96,1.05,mirage,33.3,50,25,6,0
1.15,1.06,inferno,83.3,63.6,2,3,1
1.06,1.15,inferno,63.6,83.3,3,2,0
1.15,1.06,train,100,80,2,3,1
1.06,1.15,train,80,100,3,2,0
1.1,1.05,inferno,33.3,71.4,24,7,1
1.05,1.1,inferno,71.4,33.3,7,24,0
1.05,1.1,mirage,75,80,7,24,1
1.1,1.05,mirage,80,75,24,7,0
1.05,1.1,nuke,25,50,7,24,1
1.1,1.05,nuke,50,25,24,7,0
0.91,0.92,nuke,16.7,42.9,21,26,1
0.92,0.91,nuke,42.9,16.7,26,21,0
0.91,0.92,overpass,50,42.9,21,26,1
0.92,0.91,overpass,42.9,50,26,21,0
0.92,0.91,train,66.7,40,26,21,1
0.91,0.92,train,40,66.7,21,26,0
1.22,0.99,mirage,75,0,4,8,1
0.99,1.22,mirage,0,75,8,4,0
1.22,0.99,inferno,100,50,4,8,1
0.99,1.22,inferno,50,100,8,4,0
0.97,0.98,dust2,61.5,40,30,18,1
0.98,0.97,dust2,40,61.5,18,30,0
1.05,1.07,inferno,50,42.9,6,17,1
1.07,1.05,inferno,42.9,50,17,6,0
1.1,0.97,nuke,80,63.6,16,30,1
0.97,1.1,nuke,63.6,80,30,16,0
1.07,1.08,dust2,80,75,13,12,0
1.08,1.07,dust2,75,80,12,13,1
1.07,1.08,overpass,25,100,13,12,0
1.08,1.07,overpass,100,25,12,13,1
1.08,1.07,mirage,0,50,12,13,0
1.07,1.08,mirage,50,0,13,12,1
0.98,0.97,inferno,71.4,10,18,30,1
0.97,0.98,inferno,10,71.4,30,18,0
0.98,0.97,dust2,40,61.5,18,30,1
0.97,0.98,dust2,61.5,40,30,18,0
0.97,0.98,train,88.9,60,30,18,1
0.98,0.97,train,60,88.9,18,30,0
1.07,1.1,overpass,71.4,50,17,16,1
1.1,1.07,overpass,50,71.4,16,17,0
1.07,1.1,nuke,62.5,80,17,16,1
1.1,1.07,nuke,80,62.5,16,17,0
1.1,1.07,inferno,83.3,42.9,16,17,1
1.07,1.1,inferno,42.9,83.3,17,16,0
0.98,1.05,mirage,100,50,18,6,1
1.05,0.98,mirage,50,100,6,18,0
0.98,1.05,inferno,71.4,50,18,6,1
1.05,0.98,inferno,50,71.4,6,18,0
1.05,0.98,dust2,80,40,6,18,1
0.98,1.05,dust2,40,80,18,6,0
1.07,0.98,nuke,62.5,14.3,17,18,1
0.98,1.07,nuke,14.3,62.5,18,17,0
0.98,1.07,mirage,100,50,18,17,1
1.07,0.98,mirage,50,100,17,18,0
0.98,1.07,inferno,71.4,42.9,18,17,1
1.07,0.98,inferno,42.9,71.4,17,18,0
0.91,1.05,mirage,25,0,21,11,1
1.05,0.91,mirage,0,25,11,21,0
0.91,1.05,train,40,66.7,21,11,1
1.05,0.91,train,66.7,40,11,21,0
1.05,0.91,nuke,100,16.7,11,21,1
0.91,1.05,nuke,16.7,100,21,11,0
1.1,0.99,inferno,62.5,50,15,8,1
0.99,1.1,inferno,50,62.5,8,15,0
0.99,1.1,dust2,0,0,8,15,1
1.1,0.99,dust2,0,0,15,8,0
0.99,1.1,mirage,0,60,8,15,1
1.1,0.99,mirage,60,0,15,8,0
1.13,0.92,train,25,42.9,9,22,1
0.92,1.13,train,42.9,25,22,9,0
1.13,0.92,dust2,80,0,9,22,1
0.92,1.13,dust2,0,80,22,9,0
0.96,0.91,inferno,75,37.5,5,21,1
0.91,0.96,inferno,37.5,75,21,5,0
0.96,0.91,nuke,57.1,16.7,5,21,1
0.91,0.96,nuke,16.7,57.1,21,5,0
0.91,0.96,dust2,100,40,21,5,1
0.96,0.91,dust2,40,100,5,21,0
1.1,0.91,mirage,80,25,24,21,1
0.91,1.1,mirage,25,80,21,24,0
1.1,0.91,inferno,33.3,37.5,24,21,1
0.91,1.1,inferno,37.5,33.3,21,24,0
0.99,1.06,mirage,0,75,8,3,1
1.06,0.99,mirage,75,0,3,8,0
0.99,1.06,inferno,50,63.6,8,3,1
1.06,0.99,inferno,63.6,50,3,8,0
1.05,1.09,train,50,0,7,10,1
1.09,1.05,train,0,50,10,7,0
1.05,1.09,nuke,25,66.7,7,10,1
1.09,1.05,nuke,66.7,25,10,7,0
1.05,1.07,train,50,66.7,6,17,1
1.07,1.05,train,66.7,50,17,6,0
1.05,1.07,overpass,50,71.4,6,17,1
1.07,1.05,overpass,71.4,50,17,6,0
1.07,1.08,dust2,80,75,13,12,1
1.08,1.07,dust2,75,80,12,13,0
1.07,1.08,nuke,100,20,13,12,1
1.08,1.07,nuke,20,100,12,13,0
1.08,1.07,overpass,100,25,12,13,1
1.07,1.08,overpass,25,100,13,12,0
1.05,1.13,dust2,37.5,77.8,7,1,1
1.13,1.05,dust2,77.8,37.5,1,7,0
1.05,1.13,inferno,71.4,80,7,1,1
1.13,1.05,inferno,80,71.4,1,7,0
1.13,1.05,nuke,50,25,1,7,1
1.05,1.13,nuke,25,50,7,1,0
1.15,1.13,nuke,100,75,2,9,1
1.13,1.15,nuke,75,100,9,2,0
1.15,1.13,dust2,66.7,80,2,9,1
1.13,1.15,dust2,80,66.7,9,2,0
1.07,1.05,vertigo,66.7,50,13,6,1
1.05,1.07,vertigo,50,66.7,6,13,0
1.07,1.05,train,100,50,13,6,1
1.05,1.07,train,50,100,6,13,0
1.07,1.08,train,66.7,0,17,12,1
1.08,1.07,train,0,66.7,12,17,0
1.07,1.08,nuke,62.5,20,17,12,1
1.08,1.07,nuke,20,62.5,12,17,0
1.1,0.91,mirage,60,25,15,21,1
0.91,1.1,mirage,25,60,21,15,0
1.1,0.91,overpass,50,50,15,21,1
0.91,1.1,overpass,50,50,21,15,0
1.06,1.05,train,80,66.7,3,11,1
1.05,1.06,train,66.7,80,11,3,0
1.06,1.05,inferno,63.6,50,3,11,1
1.05,1.06,inferno,50,63.6,11,3,0
0.98,0.92,train,60,42.9,18,22,1
0.92,0.98,train,42.9,60,22,18,0
1.09,1.05,inferno,80,50,10,6,1
1.05,1.09,inferno,50,80,6,10,0
1.09,1.05,overpass,66.7,50,10,6,1
1.05,1.09,overpass,50,66.7,6,10,0
1.05,1.09,mirage,50,63.6,6,10,1
1.09,1.05,mirage,63.6,50,10,6,0
1.07,1.13,inferno,42.9,80,17,1,1
1.13,1.07,inferno,80,42.9,1,17,0
1.13,1.07,overpass,100,71.4,1,17,1
1.07,1.13,overpass,71.4,100,17,1,0
1.13,1.07,nuke,50,62.5,1,17,1
1.07,1.13,nuke,62.5,50,17,1,0
1.1,1.1,overpass,80,80,24,20,1
1.1,1.1,overpass,80,80,20,24,0
1.1,1.1,dust2,100,50,24,20,1
1.1,1.1,dust2,50,100,20,24,0
0.99,0.96,mirage,0,33.3,8,5,1
0.96,0.99,mirage,33.3,0,5,8,0
0.99,0.96,nuke,0,57.1,8,5,1
0.96,0.99,nuke,57.1,0,5,8,0
1.06,1.1,inferno,63.6,62.5,3,15,1
1.1,1.06,inferno,62.5,63.6,15,3,0
1.06,1.1,mirage,75,60,3,15,1
1.1,1.06,mirage,60,75,15,3,0
1.13,1.09,mirage,83.3,63.6,1,10,1
1.09,1.13,mirage,63.6,83.3,10,1,0
1.13,1.09,train,100,0,1,10,1
1.09,1.13,train,0,100,10,1,0
1.07,1.05,dust2,80,37.5,13,7,1
1.05,1.07,dust2,37.5,80,7,13,0
1.07,1.05,overpass,25,80,13,7,1
1.05,1.07,overpass,80,25,7,13,0
1.06,0.96,inferno,63.6,75,3,5,1
0.96,1.06,inferno,75,63.6,5,3,0
1.06,0.96,nuke,100,57.1,3,5,1
0.96,1.06,nuke,57.1,100,5,3,0
1.13,1.05,inferno,80,71.4,1,7,1
1.05,1.13,inferno,71.4,80,7,1,0
1.13,1.05,dust2,77.8,37.5,1,7,1
1.05,1.13,dust2,37.5,77.8,7,1,0
0.98,0.96,nuke,14.3,55.6,18,25,1
0.96,0.98,nuke,55.6,14.3,25,18,0
1.1,1.1,vertigo,100,50,16,20,1
1.1,1.1,vertigo,50,100,20,16,0
1.15,1.1,nuke,100,50,2,24,1
1.1,1.15,nuke,50,100,24,2,0
1.15,1.1,train,100,33.3,2,24,1
1.1,1.15,train,33.3,100,24,2,0
1.1,1.15,dust2,100,66.7,24,2,1
1.15,1.1,dust2,66.7,100,2,24,0
1.09,0.96,mirage,63.6,33.3,10,5,1
0.96,1.09,mirage,33.3,63.6,5,10,0
1.09,0.96,nuke,66.7,57.1,10,5,1
0.96,1.09,nuke,57.1,66.7,5,10,0
0.99,1.1,inferno,50,62.5,8,15,1
1.1,0.99,inferno,62.5,50,15,8,0
0.99,1.1,mirage,0,60,8,15,1
1.1,0.99,mirage,60,0,15,8,0
1.1,0.99,train,100,100,15,8,1
0.99,1.1,train,100,100,8,15,0
1.13,1.06,dust2,77.8,0,1,3,1
1.06,1.13,dust2,0,77.8,3,1,0
1.13,1.06,inferno,80,63.6,1,3,1
1.06,1.13,inferno,63.6,80,3,1,0
1.06,1.13,mirage,75,83.3,3,1,1
1.13,1.06,mirage,83.3,75,1,3,0
1.09,0.99,mirage,63.6,0,10,8,1
0.99,1.09,mirage,0,63.6,8,10,0
1.09,0.99,nuke,66.7,0,10,8,1
0.99,1.09,nuke,0,66.7,8,10,0
1.09,1.06,inferno,80,63.6,10,3,1
1.06,1.09,inferno,63.6,80,3,10,0
1.06,1.09,nuke,100,66.7,3,10,1
1.09,1.06,nuke,66.7,100,10,3,0
1.06,1.09,mirage,75,63.6,3,10,1
1.09,1.06,mirage,63.6,75,10,3,0
1.1,1.04,dust2,50,75,20,23,1
1.04,1.1,dust2,75,50,23,20,0
1.1,1.04,nuke,71.4,50,20,23,1
1.04,1.1,nuke,50,71.4,23,20,0
1.04,1.1,train,100,66.7,23,20,1
1.1,1.04,train,66.7,100,20,23,0
1.13,1.06,dust2,77.8,0,1,3,1
1.06,1.13,dust2,0,77.8,3,1,0
1.13,1.06,mirage,83.3,75,1,3,1
1.06,1.13,mirage,75,83.3,3,1,0
0.92,1.05,overpass,25,50,22,11,1
1.05,0.92,overpass,50,25,11,22,0
0.92,1.05,mirage,25,0,22,11,1
1.05,0.92,mirage,0,25,11,22,0
1.13,1.07,inferno,71.4,42.9,9,17,1
1.07,1.13,inferno,42.9,71.4,17,9,0
1.13,1.07,nuke,75,62.5,9,17,1
1.07,1.13,nuke,62.5,75,17,9,0
1.06,1.1,inferno,63.6,33.3,3,24,1
1.1,1.06,inferno,33.3,63.6,24,3,0
1.06,1.1,train,80,33.3,3,24,1
1.1,1.06,train,33.3,80,24,3,0
0.91,1.1,inferno,37.5,40,21,20,1
1.1,0.91,inferno,40,37.5,20,21,0
1.1,0.91,nuke,71.4,16.7,20,21,1
0.91,1.1,nuke,16.7,71.4,21,20,0
1.1,0.91,train,66.7,40,20,21,1
0.91,1.1,train,40,66.7,21,20,0
1.1,1.04,overpass,50,57.1,16,23,1
1.04,1.1,overpass,57.1,50,23,16,0
1.04,1.1,inferno,28.6,83.3,23,16,1
1.1,1.04,inferno,83.3,28.6,16,23,0
1.04,1.1,train,100,50,23,16,1
1.1,1.04,train,50,100,16,23,0
0.92,1.13,inferno,50,71.4,22,9,1
1.13,0.92,inferno,71.4,50,9,22,0
0.92,1.13,train,42.9,25,22,9,1
1.13,0.92,train,25,42.9,9,22,0
1.13,0.92,mirage,66.7,25,9,22,1
0.92,1.13,mirage,25,66.7,22,9,0
1.05,0.98,nuke,100,14.3,11,18,1
0.98,1.05,nuke,14.3,100,18,11,0
1.05,0.98,inferno,50,71.4,11,18,1
0.98,1.05,inferno,71.4,50,18,11,0
0.91,1.1,inferno,37.5,40,21,20,1
1.1,0.91,inferno,40,37.5,20,21,0
0.91,1.1,train,40,66.7,21,20,1
1.1,0.91,train,66.7,40,20,21,0
0.92,0.97,inferno,50,10,22,30,1
0.97,0.92,inferno,10,50,30,22,0
0.92,0.97,nuke,60,63.6,22,30,1
0.97,0.92,nuke,63.6,60,30,22,0
0.97,0.92,train,88.9,42.9,30,22,1
0.92,0.97,train,42.9,88.9,22,30,0
1.06,1.1,nuke,100,71.4,3,20,1
1.1,1.06,nuke,71.4,100,20,3,0
1.06,1.1,inferno,63.6,40,3,20,1
1.1,1.06,inferno,40,63.6,20,3,0
1.07,0.91,inferno,42.9,37.5,17,21,1
0.91,1.07,inferno,37.5,42.9,21,17,0
1.07,0.91,nuke,62.5,16.7,17,21,1
0.91,1.07,nuke,16.7,62.5,21,17,0
1.06,0.92,overpass,66.7,25,3,22,1
0.92,1.06,overpass,25,66.7,22,3,0
1.06,0.92,mirage,75,25,3,22,1
0.92,1.06,mirage,25,75,22,3,0
1.07,1.05,mirage,50,0,17,11,1
1.05,1.07,mirage,0,50,11,17,0
1.07,1.05,vertigo,100,66.7,17,11,1
1.05,1.07,vertigo,66.7,100,11,17,0
1.13,1.15,inferno,71.4,83.3,9,2,1
1.15,1.13,inferno,83.3,71.4,2,9,0
1.08,1.22,dust2,75,60,12,4,1
1.22,1.08,dust2,60,75,4,12,0
1.05,1.15,overpass,80,0,7,2,1
1.15,1.05,overpass,0,80,2,7,0
1.13,1.08,nuke,75,20,9,12,1
1.08,1.13,nuke,20,75,12,9,0
1.15,1.22,nuke,100,0,2,4,1
1.22,1.15,nuke,0,100,4,2,0
1.13,1.05,dust2,80,37.5,9,7,1
1.05,1.13,dust2,37.5,80,7,9,0
1.05,1.22,mirage,75,75,7,4,1
1.22,1.05,mirage,75,75,4,7,0
1.22,1.13,inferno,100,71.4,4,9,1
1.13,1.22,inferno,71.4,100,9,4,0
1.08,1.05,nuke,20,25,12,7,1
1.05,1.08,nuke,25,20,7,12,0
1.13,1.05,nuke,75,25,9,7,1
1.05,1.13,nuke,25,75,7,9,0
1.13,1.05,dust2,80,37.5,9,7,1
1.05,1.13,dust2,37.5,80,7,9,0
1.1,0.96,nuke,50,55.6,24,25,1
0.96,1.1,nuke,55.6,50,25,24,0
1.1,0.96,mirage,80,33.3,24,25,1
0.96,1.1,mirage,33.3,80,25,24,0
0.96,1.1,train,40,33.3,25,24,1
1.1,0.96,train,33.3,40,24,25,0
1.1,0.97,dust2,66.7,61.5,16,30,1
0.97,1.1,dust2,61.5,66.7,30,16,0
1.1,0.97,mirage,33.3,50,16,30,1
0.97,1.1,mirage,50,33.3,30,16,0
0.97,0.96,mirage,50,33.3,30,25,1
0.96,0.97,mirage,33.3,50,25,30,0
1.1,0.97,nuke,80,63.6,16,30,1
0.97,1.1,nuke,63.6,80,30,16,0
1.1,0.92,dust2,66.7,0,16,22,1
0.92,1.1,dust2,0,66.7,22,16,0
1.1,0.92,nuke,50,60,24,22,1
0.92,1.1,nuke,60,50,22,24,0
1.1,0.92,overpass,80,25,24,22,1
0.92,1.1,overpass,25,80,22,24,0
1.05,0.98,dust2,80,40,6,18,1
0.98,1.05,dust2,40,80,18,6,0
1.1,1.05,inferno,40,50,20,6,1
1.05,1.1,inferno,50,40,6,20,0
0.99,0.94,inferno,50,0,8,14,1
0.94,0.99,inferno,0,50,14,8,0
0.99,0.94,train,100,50,8,14,1
0.94,0.99,train,50,100,14,8,0
1.13,1.13,nuke,75,50,9,1,1
1.13,1.13,nuke,50,75,1,9,0
1.13,1.13,dust2,80,77.8,9,1,1
1.13,1.13,dust2,77.8,80,1,9,0
1.15,0.99,inferno,83.3,50,2,8,1
0.99,1.15,inferno,50,83.3,8,2,0
1.15,0.99,nuke,100,0,2,8,1
0.99,1.15,nuke,0,100,8,2,0
1.1,1.05,overpass,50,50,16,6,1
1.05,1.1,overpass,50,50,6,16,0
0.97,1.1,nuke,63.6,71.4,30,20,1
1.1,0.97,nuke,71.4,63.6,20,30,0
1.05,0.92,train,50,42.9,6,22,1
0.92,1.05,train,42.9,50,22,6,0
0.98,1.1,train,60,50,18,16,1
1.1,0.98,train,50,60,16,18,0
0.97,0.98,train,88.9,60,30,18,1
0.98,0.97,train,60,88.9,18,30,0
0.92,0.96,nuke,60,55.6,22,25,1
0.96,0.92,nuke,55.6,60,25,22,0
1.13,1.13,nuke,75,50,9,1,1
1.13,1.13,nuke,50,75,1,9,0
1.13,1.13,inferno,80,71.4,1,9,1
1.13,1.13,inferno,71.4,80,9,1,0
1.13,1.13,dust2,80,77.8,9,1,1
1.13,1.13,dust2,77.8,80,1,9,0
0.99,0.94,inferno,50,0,8,14,1
0.94,0.99,inferno,0,50,14,8,0
0.99,0.94,nuke,0,0,8,14,1
0.94,0.99,nuke,0,0,14,8,0
0.96,1.13,nuke,57.1,75,5,9,1
1.13,0.96,nuke,75,57.1,9,5,0
1.13,0.96,overpass,0,0,9,5,1
0.96,1.13,overpass,0,0,5,9,0
0.96,1.13,inferno,75,71.4,5,9,1
1.13,0.96,inferno,71.4,75,9,5,0
1.15,1.13,dust2,66.7,80,2,9,1
1.13,1.15,dust2,80,66.7,9,2,0
1.15,1.13,nuke,100,75,2,9,1
1.13,1.15,nuke,75,100,9,2,0
0.96,0.99,mirage,33.3,0,5,8,1
0.99,0.96,mirage,0,33.3,8,5,0
0.99,0.96,nuke,0,57.1,8,5,1
0.96,0.99,nuke,57.1,0,5,8,0
0.99,0.96,inferno,50,75,8,5,1
0.96,0.99,inferno,75,50,5,8,0
0.97,0.95,mirage,50,50,30,29,1
0.95,0.97,mirage,50,50,29,30,0
0.97,0.95,train,88.9,100,30,29,1
0.95,0.97,train,100,88.9,29,30,0
1.15,0.99,vertigo,100,0,2,8,1
0.99,1.15,vertigo,0,100,8,2,0
1.15,0.99,nuke,100,0,2,8,1
0.99,1.15,nuke,0,100,8,2,0
1.15,0.99,train,100,100,2,8,1
0.99,1.15,train,100,100,8,2,0
1.11,1.04,inferno,40,33.3,20,23,1
1.04,1.11,inferno,33.3,40,23,20,0
1.04,1.11,nuke,50,71.4,23,20,1
1.11,1.04,nuke,71.4,50,20,23,0
1.04,1.11,mirage,33.3,0,23,20,1
1.11,1.04,mirage,0,33.3,20,23,0
1.03,1.08,inferno,40,75,6,10,1
1.08,1.03,inferno,75,40,10,6,0
1.08,1.03,vertigo,100,0,10,6,1
1.03,1.08,vertigo,0,100,6,10,0
1.08,1.03,mirage,70,50,10,6,1
1.03,1.08,mirage,50,70,6,10,0
1.08,1.03,overpass,66.7,40,10,6,1
1.03,1.08,overpass,40,66.7,6,10,0
1.22,0.91,overpass,50,0,4,14,1
0.91,1.22,overpass,0,50,14,4,0
1.22,0.91,nuke,0,0,4,14,1
0.91,1.22,nuke,0,0,14,4,0
1.22,0.91,inferno,100,0,4,14,1
0.91,1.22,inferno,0,100,14,4,0
0.99,0.91,mirage,100,25,18,21,1
0.91,0.99,mirage,25,100,21,18,0
0.99,0.91,dust2,50,100,18,21,1
0.91,0.99,dust2,100,50,21,18,0
1.22,0.95,dust2,60,40,4,5,1
0.95,1.22,dust2,40,60,5,4,0
1.22,0.95,overpass,50,0,4,5,1
0.95,1.22,overpass,0,50,5,4,0
0.91,1.07,train,50,100,14,15,1
1.07,0.91,train,100,50,15,14,0
0.91,1.07,dust2,0,0,14,15,1
1.07,0.91,dust2,0,0,15,14,0
1.07,0.91,mirage,50,100,15,14,1
0.91,1.07,mirage,100,50,14,15,0
1.05,0.91,mirage,0,25,11,21,1
0.91,1.05,mirage,25,0,21,11,0
1.05,0.91,inferno,33.3,37.5,11,21,1
0.91,1.05,inferno,37.5,33.3,21,11,0
1.11,0.97,mirage,42.9,83.3,17,19,1
0.97,1.11,mirage,83.3,42.9,19,17,0
1.11,0.97,nuke,85.7,14.3,17,19,1
0.97,1.11,nuke,14.3,85.7,19,17,0
0.97,1.03,mirage,83.3,40,19,9,1
1.03,0.97,mirage,40,83.3,9,19,0
1.03,0.97,train,75,50,9,19,1
0.97,1.03,train,50,75,19,9,0
0.97,1.03,dust2,57.1,71.4,19,9,1
1.03,0.97,dust2,71.4,57.1,9,19,0
